Edition,Year,Host,Champion,Score,Runner-up,Third Place,Third Place Score,Fourth Place,Teams
1,1930,Uruguay,Uruguay,4-2,Argentina,United States,-,Yugoslavia,13
2,1934,Italy,Italy,2-1 (a.e.t.),Czechoslovakia,Germany,3-2,Austria,16
3,1938,France,Italy,4-2,Hungary,Brazil,4-2,Sweden,15
4,1950,Brazil,Uruguay,2-1,Brazil,Sweden,3-1,Spain,13
5,1954,Switzerland,West Germany,3-2,Hungary,Austria,3-1,Uruguay,16
6,1958,Sweden,Brazil,5-2,Sweden,France,6-3,West Germany,16
7,1962,Chile,Brazil,3-1,Czechoslovakia,Chile,1-0,Yugoslavia,16
8,1966,England,England,4-2 (a.e.t.),West Germany,Portugal,2-1,Soviet Union,16
9,1970,Mexico,Brazil,4-1,Italy,West Germany,1-0,Uruguay,16
10,1974,West Germany,West Germany,2-1,Netherlands,Poland,1-0,Brazil,16
11,1978,Argentina,Argentina,3-1 (a.e.t.),Netherlands,Brazil,2-1,Italy,16
12,1982,Spain,Italy,3-1,West Germany,Poland,3-2,France,24
13,1986,Mexico,Argentina,3-2,West Germany,France,4-2 (a.e.t.),Belgium,24
14,1990,Italy,West Germany,1-0,Argentina,Italy,2-1,England,24
15,1994,United States,Brazil,0-0 (a.e.t.) (3-2 p),Italy,Sweden,4-0,Bulgaria,24
16,1998,France,France,3-0,Brazil,Croatia,2-1,Netherlands,32
17,2002,South Korea Japan,Brazil,2-0,Germany,Turkey,3-2,South Korea,32
18,2006,Germany,Italy,1-1 (a.e.t.) (5-3 p),France,Germany,3-1,Portugal,32
19,2010,South Africa,Spain,1-0 (a.e.t.),Netherlands,Germany,3-2,Uruguay,32
20,2014,Brazil,Germany,1-0 (a.e.t.),Argentina,Netherlands,3-0,Brazil,32
21,2018,Russia,France,4-2,Croatia,Belgium,2-0,England,32
22,2022,Qatar,Argentina,3-3 (a.e.t.) (4-2 p),France,Croatia,2-1,Morocco,32
23,2026,Canada Mexico United States,,,,,,,48
24,2030,Morocco Portugal Spain,,,,,,,48
25,2034,Saudi Arabia,,,,,,,48
